Standortname;PLZ;Standplatz-Bezeichnung_Internet;Latitude;Longitude;Title
Dresden Freiberger Straße;1067;Zugang Bahnsteig Richtung Rosenstraße;52,5018362;13,3026692;Zugang Bahnsteig Richtung Rosenstraße - Dresden Freiberger Straße - 1067
Dresden Freiberger Straße;1067;Zugang Bahnsteig Richtung Freiberger Str.;52,5018362;13,3026692;Zugang Bahnsteig Richtung Freiberger Str. - Dresden Freiberger Straße - 1067
Dresden Mitte;1067;Empfangsgebäude;52,5018362;13,3026692;Empfangsgebäude - Dresden Mitte - 1067
Dresden Mitte;1067;Tunnel Ausgang Kongesszentrum;52,5018362;13,3026692;Tunnel Ausgang Kongesszentrum - Dresden Mitte - 1067
Dresden Mitte;1067;Bahnsteig 1/2;52,5018362;13,3026692;Bahnsteig 1/2 - Dresden Mitte - 1067
Dresden Mitte;1067;Bahnsteig 3/4;52,5018362;13,3026692;Bahnsteig 3/4 - Dresden Mitte - 1067
Dresden Hbf;1069;Querbahnsteig;52,5018362;13,3026692;Querbahnsteig - Dresden Hbf - 1069
Dresden Hbf;1069;Kuppelhalle;52,5018362;13,3026692;Kuppelhalle - Dresden Hbf - 1069
Dresden Hbf;1069;Kuppelhalle;52,5018362;13,3026692;Kuppelhalle - Dresden Hbf - 1069
Dresden Hbf;1069;Kuppelhalle;52,5018362;13,3026692;Kuppelhalle - Dresden Hbf - 1069
Dresden Hbf;1069;Kuppelhalle;52,5018362;13,3026692;Kuppelhalle - Dresden Hbf - 1069
Dresden Hbf;1069;vor Eingang Wiener Platz rechts;52,5018362;13,3026692;vor Eingang Wiener Platz rechts - Dresden Hbf - 1069
Dresden Hbf;1069;Kuppelhalle Nordseite links;52,5018362;13,3026692;Kuppelhalle Nordseite links - Dresden Hbf - 1069
Dresden Hbf;1069;Querbahnsteig;52,5018362;13,3026692;Querbahnsteig - Dresden Hbf - 1069
Dresden Hbf;1069;Kuppelhalle Nordhalle links;52,5018362;13,3026692;Kuppelhalle Nordhalle links - Dresden Hbf - 1069
